Year,Flooded_area (km2),Percentage_of_total_area,Number_of_deaths,Crop_damage(millionTons),Total_financial_loss (millionTaka)
1953,,,,0.6,
1954,36800,25.77,112,0.7,1500
1955,50500,35.37,129,,
1956,35400,24.79,,0.5,1580
1957,,,,,
1958,,,,,
1959,,,,,
1960,28400,19.89,,,
1961,28800,20.17,,,
1962,37200,26.05,117,1.2,1500
1963,43100,30.19,,,
1964,31000,21.71,,,
1965,28400,19.89,,,
1966,33400,23.39,,1,600
1967,25700,18,,,
1968,37200,26.05,126,1.1,1200
1969,41400,29,,1,1100
1970,42400,29.7,87,1.2,1000
1971,36300,25.42,120,,
1972,20800,14.57,,,
1973,29800,20.87,,,
1974,52600,36.84,1987,1.4,20000
1975,16600,11.63,,,
1976,28300,19.82,,,
1977,12500,8.75,,,
1978,10800,7.56,,,
1979,,,,,
1980,33000,23.11,,0.4,4000
1981,,,,,
1982,3140,2.2,,,
1983,11100,7.77,,,
1984,28200,19.75,513,0.7,4500
1985,11400,7.98,,,
1986,4600,3.22,,,
1987,57300,40.13,2379,1.5,35000
1988,89970,63.01,2379,3.2,40000
1989,6100,4.27,,,
1990,3500,2.45,,,
1991,28600,19.38,,,
1992,2000,1.36,,,
1993,28742,19.48,,,
1994,419,0.28,,,
1995,32000,21.68,,,
1996,35800,24.26,,,
1997,,,,,
1998,100250,67.93,1050,4.5,142160
1999,32850,22.26,,,
2000,35700,24.19,,,
2001,4000,2.71,,,
2002,15000,10.16,,,
2003,21500,14.57,,,
2004,55000,37.37,,,
2005,,,,,
